"id","name","path","type","extension_type","created_by_id","last_update_by_id","project_id"
15099,"2323-19.tif.points","project/files/SALLE 1/2323-19.tif.points",".tif.points",".tif.points",NULL,NULL,7306
15100,"2323-19_georef.tif","project/files/SALLE 1/2323-19_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7306
15101,"2323-20.tif.points","project/files/SALLE 1/2323-20.tif.points",".tif.points",".tif.points",NULL,NULL,7307
15102,"2323-20_georef.tif","project/files/SALLE 1/2323-20_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7307
15103,"2323-21.tif.points","project/files/SALLE 1/2323-21.tif.points",".tif.points",".tif.points",NULL,NULL,7308
15104,"2323-21_georef.tif","project/files/SALLE 1/2323-21_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7308
15105,"2323-22.tif.points","project/files/SALLE 1/2323-22.tif.points",".tif.points",".tif.points",NULL,NULL,7309
15106,"2323-22_georef.tif","project/files/SALLE 1/2323-22_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7309
15107,"2323-23.tif.points","project/files/SALLE 1/2323-23.tif.points",".tif.points",".tif.points",NULL,NULL,7310
15108,"2323-23_georef.tif","project/files/SALLE 1/2323-23_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7310
15109,"2323-24.tif.points","project/files/SALLE 1/2323-24.tif.points",".tif.points",".tif.points",NULL,NULL,7311
15110,"2323-24_georef.tif","project/files/SALLE 1/2323-24_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7311
15111,"2323-26.tif.points","project/files/SALLE 1/2323-26.tif.points",".tif.points",".tif.points",NULL,NULL,7312
15112,"2323-26_georef.tif","project/files/SALLE 1/2323-26_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7312
15113,"2323-27.tif.points","project/files/SALLE 1/2323-27.tif.points",".tif.points",".tif.points",NULL,NULL,7313
15114,"2323-27_georef.tif","project/files/SALLE 1/2323-27_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7313
15115,"2323-28.tif.points","project/files/SALLE 1/2323-28.tif.points",".tif.points",".tif.points",NULL,NULL,7314
15116,"2323-28_georef.tif","project/files/SALLE 1/2323-28_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7314
15117,"2323-29.tif.points","project/files/SALLE 1/2323-29.tif.points",".tif.points",".tif.points",NULL,NULL,7315
15118,"2323-29_georef.tif","project/files/SALLE 1/2323-29_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7315
15119,"2323-30.tif.points","project/files/SALLE 1/2323-30.tif.points",".tif.points",".tif.points",NULL,NULL,7316
15120,"2323-30_georef.tif","project/files/SALLE 1/2323-30_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7316
15121,"2323-32.tif.points","project/files/SALLE 1/2323-32.tif.points",".tif.points",".tif.points",NULL,NULL,7317
15122,"2323-32_georef.tif","project/files/SALLE 1/2323-32_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7317
15123,"2323-33.tif.points","project/files/SALLE 1/2323-33.tif.points",".tif.points",".tif.points",NULL,NULL,7318
15124,"2323-33_georef.tif","project/files/SALLE 1/2323-33_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7318
15125,"2323-34.tif.points","project/files/SALLE 1/2323-34.tif.points",".tif.points",".tif.points",NULL,NULL,7319
15126,"2323-34_georef.tif","project/files/SALLE 1/2323-34_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7319
15127,"2323-35.tif.points","project/files/SALLE 1/2323-35.tif.points",".tif.points",".tif.points",NULL,NULL,7320
15128,"2323-35_georef.tif","project/files/SALLE 1/2323-35_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7320
15129,"2323-36.tif.points","project/files/SALLE 1/2323-36.tif.points",".tif.points",".tif.points",NULL,NULL,7321
15130,"2323-36_georef.tif","project/files/SALLE 1/2323-36_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7321
15131,"2323-37.tif.points","project/files/SALLE 1/2323-37.tif.points",".tif.points",".tif.points",NULL,NULL,7322
15132,"2323-37_georef.tif","project/files/SALLE 1/2323-37_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7322
15133,"2323-38.tif.points","project/files/SALLE 1/2323-38.tif.points",".tif.points",".tif.points",NULL,NULL,7323
15134,"2323-38_georef.tif","project/files/SALLE 1/2323-38_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7323
15135,"2323-39.tif.points","project/files/SALLE 1/2323-39.tif.points",".tif.points",".tif.points",NULL,NULL,7324
15136,"2323-39_georef.tif","project/files/SALLE 1/2323-39_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7324
15137,"2323-40.tif.points","project/files/SALLE 1/2323-40.tif.points",".tif.points",".tif.points",NULL,NULL,7325
15138,"2323-40_georef.tif","project/files/SALLE 1/2323-40_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7325
15139,"2323-41.tif.points","project/files/SALLE 1/2323-41.tif.points",".tif.points",".tif.points",NULL,NULL,7326
15140,"2323-41_georef.tif","project/files/SALLE 1/2323-41_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7326
15141,"2323-42.tif.points","project/files/SALLE 1/2323-42.tif.points",".tif.points",".tif.points",NULL,NULL,7327
15142,"2323-42_georef.tif","project/files/SALLE 1/2323-42_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7327
15143,"2323-43.tif.points","project/files/SALLE 1/2323-43.tif.points",".tif.points",".tif.points",NULL,NULL,7328
15144,"2323-43_georef.tif","project/files/SALLE 1/2323-43_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7328
15145,"2323-44.tif.points","project/files/SALLE 1/2323-44.tif.points",".tif.points",".tif.points",NULL,NULL,7329
15146,"2323-44_georef.tif","project/files/SALLE 1/2323-44_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7329
15147,"2323-45.tif.points","project/files/SALLE 1/2323-45.tif.points",".tif.points",".tif.points",NULL,NULL,7330
15148,"2323-45_georef.tif","project/files/SALLE 1/2323-45_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7330
15149,"2323-46.tif.points","project/files/SALLE 1/2323-46.tif.points",".tif.points",".tif.points",NULL,NULL,7331
15150,"2323-46_georef.tif","project/files/SALLE 1/2323-46_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7331
15151,"2323-47.tif.points","project/files/SALLE 1/2323-47.tif.points",".tif.points",".tif.points",NULL,NULL,7332
15152,"2323-47_georef.tif","project/files/SALLE 1/2323-47_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7332
15153,"2323-48.tif.points","project/files/SALLE 1/2323-48.tif.points",".tif.points",".tif.points",NULL,NULL,7333
15154,"2323-48_georef.tif","project/files/SALLE 1/2323-48_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7333
15155,"2323-49.tif.points","project/files/SALLE 1/2323-49.tif.points",".tif.points",".tif.points",NULL,NULL,7334
15156,"2323-49_georef.tif","project/files/SALLE 1/2323-49_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7334
15157,"2323-50.tif.points","project/files/SALLE 1/2323-50.tif.points",".tif.points",".tif.points",NULL,NULL,7335
15158,"2323-50_georef.tif","project/files/SALLE 1/2323-50_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7335
15159,"2323-51.tif.points","project/files/SALLE 1/2323-51.tif.points",".tif.points",".tif.points",NULL,NULL,7336
15160,"2323-51_georef.tif","project/files/SALLE 1/2323-51_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7336
15161,"2323-52.tif.points","project/files/SALLE 1/2323-52.tif.points",".tif.points",".tif.points",NULL,NULL,7337
15162,"2323-52_georef.tif","project/files/SALLE 1/2323-52_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7337
15163,"2323-53.tif.points","project/files/SALLE 1/2323-53.tif.points",".tif.points",".tif.points",NULL,NULL,7338
15164,"2323-53_georef.tif","project/files/SALLE 1/2323-53_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7338
15165,"2323-54.tif.points","project/files/SALLE 1/2323-54.tif.points",".tif.points",".tif.points",NULL,NULL,7339
15166,"2323-54_georef.tif","project/files/SALLE 1/2323-54_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7339
15167,"2323-55.tif.points","project/files/SALLE 1/2323-55.tif.points",".tif.points",".tif.points",NULL,NULL,7340
15168,"2323-55_georef.tif","project/files/SALLE 1/2323-55_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7340
15169,"2323-56.tif.points","project/files/SALLE 1/2323-56.tif.points",".tif.points",".tif.points",NULL,NULL,7341
15170,"2323-56_georef.tif","project/files/SALLE 1/2323-56_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7341
15171,"2323-57.tif.points","project/files/SALLE 1/2323-57.tif.points",".tif.points",".tif.points",NULL,NULL,7342
15172,"2323-57_georef.tif","project/files/SALLE 1/2323-57_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7342
15173,"2323-58.tif.points","project/files/SALLE 1/2323-58.tif.points",".tif.points",".tif.points",NULL,NULL,7343
15174,"2323-58_georef.tif","project/files/SALLE 1/2323-58_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7343
15175,"2323-59.tif.points","project/files/SALLE 1/2323-59.tif.points",".tif.points",".tif.points",NULL,NULL,7344
15176,"2323-59_georef.tif","project/files/SALLE 1/2323-59_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7344
